,policy_id,text_one,element_one
1,1,"The Airports Commission, an independent body established to study the issue, have argued that expanding Heathrow is ""the most effective option to address the UK's aviation capacity challenge"".",Appeal to authority/endorsement
2,1,The decision to expand Heathrow is the result of a fair and transparent process which weighed all the relevant concerns.,Morality
3,1,We must learn from the lessons of history: failure to invest in transport infrastructure projects like the Heathrow expansion leads to increasing delays and increasing prices.,Appeal to history
4,1,Only by expanding Heathrow will Great Britain get the great international airport it deserves.,Appeal to national greatness
5,1,Air travel should not just be for elites: expanding Heathrow will make flights cheaper and more accessible for ordinary working people.,Public Opinion
6,1,It is just common sense that an airport as congested as Heathrow should be expanded.,Public Opinion
7,1,"Expansion at Heathrow will bring real benefits across the country, including a boost of up to £74 billion to passengers and the wider economy, and these will easily surpass the costs of expansion.",Cost/benefit
8,1,"Major European international airports have more runways than Heathrow, putting the UK at a competitive disadvantage.",Appeal to national greatness
9,1,"Heathrow has a capacity crisis: without a third runway, delays will increase and more flights will be cancelled.",Cost/benefit
10,1,It is wrong to let local interests get in the way of the national interest in having an internationally competitive airport.,Morality
11,1,A 2014 poll showed that many more people were in favour of a third runway at Heathrow than opposed it.,Public Opinion
12,1,"In addition to the immediate benefits of Heathrow expansion for passangers, it will have the side-effect of benefitting businesses and individuals right across the country by bringing additional growth to the UK economy.",Cost/benefit
13,1,Research from Greenpeace suggests that Heathrow expansion would increase greenhouse-gas emissions to levels that would be irreconcilable with internationally agreed levels.,Appeal to authority/endorsement
14,1,"The Heathrow expansion is another example of London and the south-east getting more than their fair share of investment, spending, jobs and benefits.",Morality
15,1,"History show us that most large infrastructure projects do not lead to significant economic growth, which suggests that the expansion of Heathrow will fail to pay for itself.",Appeal to history
16,1,"Great nations don't waste money on vanity projects, and the expansion of Heathrow would be nothing more than a project of national vanity.",Appeal to national greatness
17,1,Expanding Heathrow will enrich a private foreign-owned business at the expense of higher fares for ordinary passengers.,Public Opinion
18,1,"Given the obvious problems of expanding Heathrow, the common sense solution is to build additional capacity elsewhere.",Public Opinion
19,1,"The unnecessarily large costs of expansion at Heathrow will end up falling on taxpayers and airline passengers, and will outweigh any potential benefits.",Cost/benefit
20,1,"Expansion is not necessary, as Heathrow already has more international flights each week than either Charles de Gaulle or Frankfurt, both of which have more runways than Heathrow.",Appeal to national greatness
21,1,The crisis of noise and air pollution around Heathrow will only be made worse by the addition of a third runway.,Cost/benefit
22,1,"As air travel is one of the largest contributers to the world's carbon emissions, we have a moral responsibility to reduce air travel, not to increase it by building bigger airports. ",Morality
23,1,"Recent polling shows that more people want to expand other London airports, rather than expanding Heathrow.",Public Opinion
24,1,An unintended consequence of expansion at Heathrow would be to add further vehicle traffic to an already overburdened motorway system around London.,Cost/benefit
25,2,"The Union of Shop, Distributive and Allied Workers says that ever increasing opening hours have a big impact on workers and their families during the Christmas period.",Appeal to authority/endorsement
26,2,Boxing Day opening is particularly unfair to retail workers who have to work when others get the day off.,Morality
27,2,"Historically, Boxing Day closure was normal because it was a bank holiday, and no business thought of doing anything other than closing.",Appeal to history
28,2,A great country like ours should put families not shopping at the centre of its holiday tradition.,Appeal to national greatness
29,2,"Boxing Day opening is only good for business elites, not for ordinary people.",Public Opinion
