"","policy_id","pair_id","policy","description","text_one","text_two","element_one","element_two","pro_con_one","pro_con_two","prompt","text_one_title","text_two_title"
"1",11,1,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","Opponents of overseas aid spending just do not care about the suffering of people around the world.","Supporters of overseas aid spending care more about people abroad than about people at home.","Ad hominem","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> spending 0.7% of GDP on overseas aid.","Argument One (For)","Argument Two (Against)"
"2",11,2,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","Supporters of overseas aid spending care more about people abroad than about people at home.","The Overseas Development Institute stated that much of our aid money fails to promote peace and stability in poor countries.","Ad hominem","Appeal to authority/endorsement","Con","Con","Please read the following <b>two arguments against</b> spending 0.7% of GDP on overseas aid.","Argument One (Against)","Argument Two (Against)"
"3",11,3,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","Oxfam says that overseas development aid has helped it to address several critical problems across the world.","Supporters of overseas aid spending care more about people abroad than about people at home.","Appeal to authority/endorsement","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> spending 0.7% of GDP on overseas aid.","Argument One (For)","Argument Two (Against)"
"4",11,4,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","Supporters of overseas aid spending care more about people abroad than about people at home.","Overseas aid is unfair to people in poor countries because it undermines the development of their countries by making them reliant on handouts.","Ad hominem","Appeal to fairness","Con","Con","Please read the following <b>two arguments against</b> spending 0.7% of GDP on overseas aid.","Argument One (Against)","Argument Two (Against)"
"5",11,5,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","Overseas aid contributes to making the world a bit fairer for those who were unlucky to be born in poor countries.","Supporters of overseas aid spending care more about people abroad than about people at home.","Appeal to fairness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> spending 0.7% of GDP on overseas aid.","Argument One (For)","Argument Two (Against)"
"6",11,6,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","Supporters of overseas aid spending care more about people abroad than about people at home.","UK government spending on overseas aid is far higher now than at any point in the past and should be brought back down to historical levels.","Ad hominem","Appeal to history","Con","Con","Please read the following <b>two arguments against</b> spending 0.7% of GDP on overseas aid.","Argument One (Against)","Argument Two (Against)"
"7",11,7,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","The UK has a long history of assisting countries that are desperately in need.","Supporters of overseas aid spending care more about people abroad than about people at home.","Appeal to history","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> spending 0.7% of GDP on overseas aid.","Argument One (For)","Argument Two (Against)"
"8",11,8,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","Supporters of overseas aid spending care more about people abroad than about people at home.","Great countries look after their own citizens: we should spend our money here rather than overseas.","Ad hominem","Appeal to national greatness","Con","Con","Please read the following <b>two arguments against</b> spending 0.7% of GDP on overseas aid.","Argument One (Against)","Argument Two (Against)"
"9",11,9,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","The UK's commitment to overseas aid is part of what makes us who we are; it is part of the values of our country; it is part of what makes Britain great.","Supporters of overseas aid spending care more about people abroad than about people at home.","Appeal to national greatness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> spending 0.7% of GDP on overseas aid.","Argument One (For)","Argument Two (Against)"
"10",11,10,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","Supporters of overseas aid spending care more about people abroad than about people at home.","Up and down the country, ordinary people are asking ""why are we spending our money on overseas aid, when children are going hungry here?""","Ad hominem","Appeal to populism","Con","Con","Please read the following <b>two arguments against</b> spending 0.7% of GDP on overseas aid.","Argument One (Against)","Argument Two (Against)"
"11",11,11,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","We must show solidarity with the common people of other countries and do what we can to protect them from corrupt elites.","Supporters of overseas aid spending care more about people abroad than about people at home.","Appeal to populism","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> spending 0.7% of GDP on overseas aid.","Argument One (For)","Argument Two (Against)"
"12",11,12,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","Supporters of overseas aid spending care more about people abroad than about people at home.","Common sense tells us that our first priority should be to help those in this country who are suffering.","Ad hominem","Common sense","Con","Con","Please read the following <b>two arguments against</b> spending 0.7% of GDP on overseas aid.","Argument One (Against)","Argument Two (Against)"
"13",11,13,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","If we want to help the neediest, it is common sense to do so in the poorest parts of the world, where even small amounts of money can make an enormous difference.","Supporters of overseas aid spending care more about people abroad than about people at home.","Common sense","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> spending 0.7% of GDP on overseas aid.","Argument One (For)","Argument Two (Against)"
"14",11,14,"Spending 0.7% of GDP on overseas aid","The UK currently spends 0.7% of GDP on overseas aid. Some people think this level of spending should be maintained (""for""), while others think it should be reduced (""against"").","Supporters of overseas aid spending care more about people abroad than about people at home.","The £14 billion we spend on aid each year costs us the ability to invest at home on nurses, teachers and police.","Ad hominem","Cost/benefit","Con","Con","Please read the following <b>two arguments against</b> spending 0.7% of GDP on overseas aid.","Argument One (Against)","Argument Two (Against)"
