"","policy_id","pair_id","policy","description","text_one","text_two","element_one","element_two","pro_con_one","pro_con_two","prompt","text_one_title","text_two_title"
"1",12,1,"Sugar tax in the UK","Recently the UK introduced a sugar tax on soft drinks, where manufacturers have to pay a levy on the high-sugar drinks they sell. Some people are in favour of sugar taxes (""for""), others are opposed (""against"").","Large confectionary companies are spending millions to make sure the government does not adopt a sugar tax.","Sugar tax supporters think that other people are too stupid to make healthy choices themselves.","Ad hominem","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> a sugar tax in the UK.","Argument One (For)","Argument Two (Against)"
"2",12,2,"Sugar tax in the UK","Recently the UK introduced a sugar tax on soft drinks, where manufacturers have to pay a levy on the high-sugar drinks they sell. Some people are in favour of sugar taxes (""for""), others are opposed (""against"").","Sugar tax supporters think that other people are too stupid to make healthy choices themselves.","Public Health England have concluded that a sugar tax on its own will have a limited effect in reducing the nation's sugar intake.","Ad hominem","Appeal to authority/endorsement","Con","Con","Please read the following <b>two arguments against</b> a sugar tax in the UK.","Argument One (Against)","Argument Two (Against)"
"3",12,3,"Sugar tax in the UK","Recently the UK introduced a sugar tax on soft drinks, where manufacturers have to pay a levy on the high-sugar drinks they sell. Some people are in favour of sugar taxes (""for""), others are opposed (""against"").","Public Health England suggests that a price increase on high sugar products would lead to a decrease in sugar consumption.","Sugar tax supporters think that other people are too stupid to make healthy choices themselves.","Appeal to authority/endorsement","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> a sugar tax in the UK.","Argument One (For)","Argument Two (Against)"
"4",12,4,"Sugar tax in the UK","Recently the UK introduced a sugar tax on soft drinks, where manufacturers have to pay a levy on the high-sugar drinks they sell. Some people are in favour of sugar taxes (""for""), others are opposed (""against"").","Sugar tax supporters think that other people are too stupid to make healthy choices themselves.","It would be fairer if we subsidised access to good food rather than putting up taxes on bad food like sugar.","Ad hominem","Appeal to fairness","Con","Con","Please read the following <b>two arguments against</b> a sugar tax in the UK.","Argument One (Against)","Argument Two (Against)"
"5",12,5,"Sugar tax in the UK","Recently the UK introduced a sugar tax on soft drinks, where manufacturers have to pay a levy on the high-sugar drinks they sell. Some people are in favour of sugar taxes (""for""), others are opposed (""against"").","A sugar tax is important because it helps to all children a fair chance of a healthy life.","Sugar tax supporters think that other people are too stupid to make healthy choices themselves.","Appeal to fairness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> a sugar tax in the UK.","Argument One (For)","Argument Two (Against)"
"6",12,6,"Sugar tax in the UK","Recently the UK introduced a sugar tax on soft drinks, where manufacturers have to pay a levy on the high-sugar drinks they sell. Some people are in favour of sugar taxes (""for""), others are opposed (""against"").","Sugar tax supporters think that other people are too stupid to make healthy choices themselves.","The experience of recent years provides an argument against a sugar tax, as voluntary action by industry has resulted in tonnes of sugar being removed from products without any need for new taxes.","Ad hominem","Appeal to history","Con","Con","Please read the following <b>two arguments against</b> a sugar tax in the UK.","Argument One (Against)","Argument Two (Against)"
"7",12,7,"Sugar tax in the UK","Recently the UK introduced a sugar tax on soft drinks, where manufacturers have to pay a levy on the high-sugar drinks they sell. Some people are in favour of sugar taxes (""for""), others are opposed (""against"").","There is plenty of historical evidence that Government action can change people's behaviour, and a sugar tax would be no different.","Sugar tax supporters think that other people are too stupid to make healthy choices themselves.","Appeal to history","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> a sugar tax in the UK.","Argument One (For)","Argument Two (Against)"
"8",12,8,"Sugar tax in the UK","Recently the UK introduced a sugar tax on soft drinks, where manufacturers have to pay a levy on the high-sugar drinks they sell. Some people are in favour of sugar taxes (""for""), others are opposed (""against"").","Sugar tax supporters think that other people are too stupid to make healthy choices themselves.","The great people of our country should be trusted to make their own decisions -- they do not need a tax on sugar to tell them what is healthy.","Ad hominem","Appeal to national greatness","Con","Con","Please read the following <b>two arguments against</b> a sugar tax in the UK.","Argument One (Against)","Argument Two (Against)"
"9",12,9,"Sugar tax in the UK","Recently the UK introduced a sugar tax on soft drinks, where manufacturers have to pay a levy on the high-sugar drinks they sell. Some people are in favour of sugar taxes (""for""), others are opposed (""against"").","If a sugar tax is implemented, the UK would become a world leading role model for other countries seeking to improve public health.","Sugar tax supporters think that other people are too stupid to make healthy choices themselves.","Appeal to national greatness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> a sugar tax in the UK.","Argument One (For)","Argument Two (Against)"
"10",12,10,"Sugar tax in the UK","Recently the UK introduced a sugar tax on soft drinks, where manufacturers have to pay a levy on the high-sugar drinks they sell. Some people are in favour of sugar taxes (""for""), others are opposed (""against"").","Sugar tax supporters think that other people are too stupid to make healthy choices themselves.","Taxes on sugar will inevitably hit ordinary people harder than avocado-eating metropolitan elites.","Ad hominem","Appeal to populism","Con","Con","Please read the following <b>two arguments against</b> a sugar tax in the UK.","Argument One (Against)","Argument Two (Against)"
