"","policy_id","pair_id","policy","description","text_one","text_two","element_one","element_two","pro_con_one","pro_con_two","prompt","text_one_title","text_two_title"
"1",2,1,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","The people who support Boxing Day opening are the people who get rich by exploiting their workers.","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","Ad hominem","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> closing large retail stores on Boxing Day.","Argument One (For)","Argument Two (Against)"
"2",2,2,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","The British Retail Consortium say that Boxing Day trading is increasingly important to the profitability of many businesses.","Ad hominem","Appeal to authority/endorsement","Con","Con","Please read the following <b>two arguments against</b> closing large retail stores on Boxing Day.","Argument One (Against)","Argument Two (Against)"
"3",2,3,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","The Union of Shop, Distributive and Allied Workers says that ever increasing opening hours have a big impact on workers and their families during the Christmas period.","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","Appeal to authority/endorsement","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> closing large retail stores on Boxing Day.","Argument One (For)","Argument Two (Against)"
"4",2,4,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","It is unfair for the Government to tell businesses to close their shops on one of the busiest days of the year.","Ad hominem","Appeal to fairness","Con","Con","Please read the following <b>two arguments against</b> closing large retail stores on Boxing Day.","Argument One (Against)","Argument Two (Against)"
"5",2,5,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","Boxing Day opening is particularly unfair to retail workers who have to work when others get the day off.","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","Appeal to fairness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> closing large retail stores on Boxing Day.","Argument One (For)","Argument Two (Against)"
"6",2,6,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","Historically, people across many sectors worked on Boxing day.","Ad hominem","Appeal to history","Con","Con","Please read the following <b>two arguments against</b> closing large retail stores on Boxing Day.","Argument One (Against)","Argument Two (Against)"
"7",2,7,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","Historically, Boxing Day closure was normal because it was a bank holiday, and no business thought of doing anything other than closing.","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","Appeal to history","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> closing large retail stores on Boxing Day.","Argument One (For)","Argument Two (Against)"
"8",2,8,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","Boxing day sales are part of our great national Christmas holiday tradition.","Ad hominem","Appeal to national greatness","Con","Con","Please read the following <b>two arguments against</b> closing large retail stores on Boxing Day.","Argument One (Against)","Argument Two (Against)"
"9",2,9,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","A great country like ours should put families not shopping at the centre of its holiday tradition.","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","Appeal to national greatness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> closing large retail stores on Boxing Day.","Argument One (For)","Argument Two (Against)"
"10",2,10,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","Most people like Boxing Day sales, it is typical elitism to try to ban them.","Ad hominem","Appeal to populism","Con","Con","Please read the following <b>two arguments against</b> closing large retail stores on Boxing Day.","Argument One (Against)","Argument Two (Against)"
"11",2,11,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","Boxing Day opening is only good for business elites, not for ordinary people.","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","Appeal to populism","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> closing large retail stores on Boxing Day.","Argument One (For)","Argument Two (Against)"
"12",2,12,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","The current law provides a common sense balance between the interests of employers and workers with regard to Boxing Day trading.","Ad hominem","Common sense","Con","Con","Please read the following <b>two arguments against</b> closing large retail stores on Boxing Day.","Argument One (Against)","Argument Two (Against)"
"13",2,13,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","It is just common sense that large stores, which are open almost every day, should be closed on a public holiday.","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","Common sense","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> closing large retail stores on Boxing Day.","Argument One (For)","Argument Two (Against)"
"14",2,14,"Closing large retail stores on Boxing Day","Boxing Day is a bank holiday in the UK. Some people are in favour of mandating that large retail stores are closed on Boxing Day (""for""), while others think that stores should be able to be either open or closed (""against"").","The people who oppose Boxing Day sales are the sort of people who can afford to pay full price for everything.","Banning high street outlets from opening the day after Christmas could cost retailers the £3.7 billion that was spent on Boxing Day last year.","Ad hominem","Cost/benefit","Con","Con","Please read the following <b>two arguments against</b> closing large retail stores on Boxing Day.","Argument One (Against)","Argument Two (Against)"
