"","policy_id","pair_id","policy","description","text_one","text_two","element_one","element_two","pro_con_one","pro_con_two","prompt","text_one_title","text_two_title"
"1",3,1,"Extending the Right to Buy","Tenants in council owned homes have the right to buy their property under certain conditions, but tenants in housing association owned homes do not have this right. Some people are in favour of extending the right to buy to people living in housing association homes (""for""), while others are against (""against"").","People who oppose the right to buy are hypocrites who already own their own homes.","Right to buy is a scheme designed by people who want to eliminate public housing.","Ad hominem","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> extending the Right to Buy.","Argument One (For)","Argument Two (Against)"
"2",3,2,"Extending the Right to Buy","Tenants in council owned homes have the right to buy their property under certain conditions, but tenants in housing association owned homes do not have this right. Some people are in favour of extending the right to buy to people living in housing association homes (""for""), while others are against (""against"").","Right to buy is a scheme designed by people who want to eliminate public housing.","The Chartered Institute of Housing has described extending the right to buy as a ""fire sale"" policy which will lead to a significant decline in affordable housing.","Ad hominem","Appeal to authority/endorsement","Con","Con","Please read the following <b>two arguments against</b> extending the Right to Buy.","Argument One (Against)","Argument Two (Against)"
"3",3,3,"Extending the Right to Buy","Tenants in council owned homes have the right to buy their property under certain conditions, but tenants in housing association owned homes do not have this right. Some people are in favour of extending the right to buy to people living in housing association homes (""for""), while others are against (""against"").","The National Housing Federation has argued that the right to buy will be good for residents, housing associations, and for the country's housing supply.","Right to buy is a scheme designed by people who want to eliminate public housing.","Appeal to authority/endorsement","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> extending the Right to Buy.","Argument One (For)","Argument Two (Against)"
"4",3,4,"Extending the Right to Buy","Tenants in council owned homes have the right to buy their property under certain conditions, but tenants in housing association owned homes do not have this right. Some people are in favour of extending the right to buy to people living in housing association homes (""for""), while others are against (""against"").","Right to buy is a scheme designed by people who want to eliminate public housing.","Extending the right to buy would be unfair, as the lack of social housing means that people can no longer live in the communities where they were born.","Ad hominem","Appeal to fairness","Con","Con","Please read the following <b>two arguments against</b> extending the Right to Buy.","Argument One (Against)","Argument Two (Against)"
"5",3,5,"Extending the Right to Buy","Tenants in council owned homes have the right to buy their property under certain conditions, but tenants in housing association owned homes do not have this right. Some people are in favour of extending the right to buy to people living in housing association homes (""for""), while others are against (""against"").","We should extend the right to buy because it is unfair that council tenants can buy their homes but housing association tenants cannot.","Right to buy is a scheme designed by people who want to eliminate public housing.","Appeal to fairness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> extending the Right to Buy.","Argument One (For)","Argument Two (Against)"
"6",3,6,"Extending the Right to Buy","Tenants in council owned homes have the right to buy their property under certain conditions, but tenants in housing association owned homes do not have this right. Some people are in favour of extending the right to buy to people living in housing association homes (""for""), while others are against (""against"").","Right to buy is a scheme designed by people who want to eliminate public housing.","We should learn lessons from recent history, as the introduction of the right to buy in the 1980s decimated the social housing stock of this country.","Ad hominem","Appeal to history","Con","Con","Please read the following <b>two arguments against</b> extending the Right to Buy.","Argument One (Against)","Argument Two (Against)"
"7",3,7,"Extending the Right to Buy","Tenants in council owned homes have the right to buy their property under certain conditions, but tenants in housing association owned homes do not have this right. Some people are in favour of extending the right to buy to people living in housing association homes (""for""), while others are against (""against"").","The introduction of the right to buy in the 1980s delivered one of the biggest transfers of wealth to working people of any policy in British history.","Right to buy is a scheme designed by people who want to eliminate public housing.","Appeal to history","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> extending the Right to Buy.","Argument One (For)","Argument Two (Against)"
"8",3,8,"Extending the Right to Buy","Tenants in council owned homes have the right to buy their property under certain conditions, but tenants in housing association owned homes do not have this right. Some people are in favour of extending the right to buy to people living in housing association homes (""for""), while others are against (""against"").","Right to buy is a scheme designed by people who want to eliminate public housing.","Communities are at the centre of our great nation and we need a radical, ambitious, compassionate housing policy to strengthen them.","Ad hominem","Appeal to national greatness","Con","Con","Please read the following <b>two arguments against</b> extending the Right to Buy.","Argument One (Against)","Argument Two (Against)"
"9",3,9,"Extending the Right to Buy","Tenants in council owned homes have the right to buy their property under certain conditions, but tenants in housing association owned homes do not have this right. Some people are in favour of extending the right to buy to people living in housing association homes (""for""), while others are against (""against"").","Owning one's home is a central part of the Great British dream, and extending the right to buy will help more people to realise that dream.","Right to buy is a scheme designed by people who want to eliminate public housing.","Appeal to national greatness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> extending the Right to Buy.","Argument One (For)","Argument Two (Against)"
"10",3,10,"Extending the Right to Buy","Tenants in council owned homes have the right to buy their property under certain conditions, but tenants in housing association owned homes do not have this right. Some people are in favour of extending the right to buy to people living in housing association homes (""for""), while others are against (""against"").","Right to buy is a scheme designed by people who want to eliminate public housing.","Extending the right to buy will mean that prime properties will be flogged off to speculators and to buy-to-let landlords, not to ordinary families who are struggling to buy for the first time.","Ad hominem","Appeal to populism","Con","Con","Please read the following <b>two arguments against</b> extending the Right to Buy.","Argument One (Against)","Argument Two (Against)"
