"","policy_id","pair_id","policy","description","text_one","text_two","element_one","element_two","pro_con_one","pro_con_two","prompt","text_one_title","text_two_title"
"1",4,1,"Extension of surveillance powers in the UK","In 2016 the UK passed the Investigatory Powers Bill which significantly extended the surveillance powers of intelligence and law enforcement agencies. Some people think these powers are justified (""for""), while others think that they have gone too far (""against"").","The people who are fighting new surveillance powers put no value on your safety.","Law enforcement agencies always want more information, they put zero value on your privacy.","Ad hominem","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> the extension of surveillance powers in the UK.","Argument One (For)","Argument Two (Against)"
"2",4,2,"Extension of surveillance powers in the UK","In 2016 the UK passed the Investigatory Powers Bill which significantly extended the surveillance powers of intelligence and law enforcement agencies. Some people think these powers are justified (""for""), while others think that they have gone too far (""against"").","Law enforcement agencies always want more information, they put zero value on your privacy.","The National Council for Civil Liberties has argued that there is ""no operational case"" for the extension of surveillance powers.","Ad hominem","Appeal to authority/endorsement","Con","Con","Please read the following <b>two arguments against</b> the extension of surveillance powers in the UK.","Argument One (Against)","Argument Two (Against)"
"3",4,3,"Extension of surveillance powers in the UK","In 2016 the UK passed the Investigatory Powers Bill which significantly extended the surveillance powers of intelligence and law enforcement agencies. Some people think these powers are justified (""for""), while others think that they have gone too far (""against"").","The National Crime Agency has made it clear that it is essential that our security services have more power to intercept electronic communications.","Law enforcement agencies always want more information, they put zero value on your privacy.","Appeal to authority/endorsement","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> the extension of surveillance powers in the UK.","Argument One (For)","Argument Two (Against)"
"4",4,4,"Extension of surveillance powers in the UK","In 2016 the UK passed the Investigatory Powers Bill which significantly extended the surveillance powers of intelligence and law enforcement agencies. Some people think these powers are justified (""for""), while others think that they have gone too far (""against"").","Law enforcement agencies always want more information, they put zero value on your privacy.","Excessive survellance always ends up being unfair to law abiding people, no matter the promises made.","Ad hominem","Appeal to fairness","Con","Con","Please read the following <b>two arguments against</b> the extension of surveillance powers in the UK.","Argument One (Against)","Argument Two (Against)"
"5",4,5,"Extension of surveillance powers in the UK","In 2016 the UK passed the Investigatory Powers Bill which significantly extended the surveillance powers of intelligence and law enforcement agencies. Some people think these powers are justified (""for""), while others think that they have gone too far (""against"").","Extending surveillance powers is the fairest way to protect all people in our country.","Law enforcement agencies always want more information, they put zero value on your privacy.","Appeal to fairness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> the extension of surveillance powers in the UK.","Argument One (For)","Argument Two (Against)"
"6",4,6,"Extension of surveillance powers in the UK","In 2016 the UK passed the Investigatory Powers Bill which significantly extended the surveillance powers of intelligence and law enforcement agencies. Some people think these powers are justified (""for""), while others think that they have gone too far (""against"").","Law enforcement agencies always want more information, they put zero value on your privacy.","The historical abuses of state surveillance powers are too many to list.","Ad hominem","Appeal to history","Con","Con","Please read the following <b>two arguments against</b> the extension of surveillance powers in the UK.","Argument One (Against)","Argument Two (Against)"
"7",4,7,"Extension of surveillance powers in the UK","In 2016 the UK passed the Investigatory Powers Bill which significantly extended the surveillance powers of intelligence and law enforcement agencies. Some people think these powers are justified (""for""), while others think that they have gone too far (""against"").","Historically, this country has repeatedly adapted how it engages in policing as communication technology has changed.","Law enforcement agencies always want more information, they put zero value on your privacy.","Appeal to history","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> the extension of surveillance powers in the UK.","Argument One (For)","Argument Two (Against)"
"8",4,8,"Extension of surveillance powers in the UK","In 2016 the UK passed the Investigatory Powers Bill which significantly extended the surveillance powers of intelligence and law enforcement agencies. Some people think these powers are justified (""for""), while others think that they have gone too far (""against"").","Law enforcement agencies always want more information, they put zero value on your privacy.","We have a great tradition in Britain of protecting our liberty and our privacy from unnecessary state surveillance. ","Ad hominem","Appeal to national greatness","Con","Con","Please read the following <b>two arguments against</b> the extension of surveillance powers in the UK.","Argument One (Against)","Argument Two (Against)"
"9",4,9,"Extension of surveillance powers in the UK","In 2016 the UK passed the Investigatory Powers Bill which significantly extended the surveillance powers of intelligence and law enforcement agencies. Some people think these powers are justified (""for""), while others think that they have gone too far (""against"").","The quiet heroism of our security services should be a source of great national pride, and we must provide the tools they need to maintain their excellence.","Law enforcement agencies always want more information, they put zero value on your privacy.","Appeal to national greatness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> the extension of surveillance powers in the UK.","Argument One (For)","Argument Two (Against)"
"10",4,10,"Extension of surveillance powers in the UK","In 2016 the UK passed the Investigatory Powers Bill which significantly extended the surveillance powers of intelligence and law enforcement agencies. Some people think these powers are justified (""for""), while others think that they have gone too far (""against"").","Law enforcement agencies always want more information, they put zero value on your privacy.","We must ensure that we have safeguards that protect ordinary people from surveillance, intrusion and abuse by unaccountable elites.","Ad hominem","Appeal to populism","Con","Con","Please read the following <b>two arguments against</b> the extension of surveillance powers in the UK.","Argument One (Against)","Argument Two (Against)"
