"","policy_id","pair_id","policy","description","text_one","text_two","element_one","element_two","pro_con_one","pro_con_two","prompt","text_one_title","text_two_title"
"1",6,1,"Nationalisation of the railways in the UK","Currently UK railways are mostly run by private franchises, where different companies operate different routes. Some people are in favour of nationalising the railway network (""for""), which means bringing it back under government control, while others are opposed (""against"").","Currently, train fare increases go straight into the pockets of greedy franchise owners.","Greedy unions think that it will be easier for them to get large wage increases from a nationalised railway system.","Ad hominem","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> nationalisation of the railways in the UK.","Argument One (For)","Argument Two (Against)"
"2",6,2,"Nationalisation of the railways in the UK","Currently UK railways are mostly run by private franchises, where different companies operate different routes. Some people are in favour of nationalising the railway network (""for""), which means bringing it back under government control, while others are opposed (""against"").","Greedy unions think that it will be easier for them to get large wage increases from a nationalised railway system.","Experts from Edinburgh Napier University suggest that nationalisation is unlikely to solve existing problems facing the UK's railways.","Ad hominem","Appeal to authority/endorsement","Con","Con","Please read the following <b>two arguments against</b> nationalisation of the railways in the UK.","Argument One (Against)","Argument Two (Against)"
"3",6,3,"Nationalisation of the railways in the UK","Currently UK railways are mostly run by private franchises, where different companies operate different routes. Some people are in favour of nationalising the railway network (""for""), which means bringing it back under government control, while others are opposed (""against"").","A recent report by the Institute for Public Policy Research shows that privitisation has not delivered on its promises, as it still takes longer to get from Liverpool to Hull than it does to get from London to Paris.","Greedy unions think that it will be easier for them to get large wage increases from a nationalised railway system.","Appeal to authority/endorsement","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> nationalisation of the railways in the UK.","Argument One (For)","Argument Two (Against)"
"4",6,4,"Nationalisation of the railways in the UK","Currently UK railways are mostly run by private franchises, where different companies operate different routes. Some people are in favour of nationalising the railway network (""for""), which means bringing it back under government control, while others are opposed (""against"").","Greedy unions think that it will be easier for them to get large wage increases from a nationalised railway system.","It is not fair to ask people who do not use the railways to pay for them through the increased taxes that would be required for nationalisation.","Ad hominem","Appeal to fairness","Con","Con","Please read the following <b>two arguments against</b> nationalisation of the railways in the UK.","Argument One (Against)","Argument Two (Against)"
"5",6,5,"Nationalisation of the railways in the UK","Currently UK railways are mostly run by private franchises, where different companies operate different routes. Some people are in favour of nationalising the railway network (""for""), which means bringing it back under government control, while others are opposed (""against"").","In recent years, fares have increased three times faster than wages, which is unfair to people who can no longer afford them.","Greedy unions think that it will be easier for them to get large wage increases from a nationalised railway system.","Appeal to fairness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> nationalisation of the railways in the UK.","Argument One (For)","Argument Two (Against)"
"6",6,6,"Nationalisation of the railways in the UK","Currently UK railways are mostly run by private franchises, where different companies operate different routes. Some people are in favour of nationalising the railway network (""for""), which means bringing it back under government control, while others are opposed (""against"").","Greedy unions think that it will be easier for them to get large wage increases from a nationalised railway system.","The current franchise system is enabling a larger investment in railways infrastructure than at any time since the Victorian era.","Ad hominem","Appeal to history","Con","Con","Please read the following <b>two arguments against</b> nationalisation of the railways in the UK.","Argument One (Against)","Argument Two (Against)"
"7",6,7,"Nationalisation of the railways in the UK","Currently UK railways are mostly run by private franchises, where different companies operate different routes. Some people are in favour of nationalising the railway network (""for""), which means bringing it back under government control, while others are opposed (""against"").","The current franchise system is a mess that emerged from the hurried privatisation in the 1990s.","Greedy unions think that it will be easier for them to get large wage increases from a nationalised railway system.","Appeal to history","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> nationalisation of the railways in the UK.","Argument One (For)","Argument Two (Against)"
"8",6,8,"Nationalisation of the railways in the UK","Currently UK railways are mostly run by private franchises, where different companies operate different routes. Some people are in favour of nationalising the railway network (""for""), which means bringing it back under government control, while others are opposed (""against"").","Greedy unions think that it will be easier for them to get large wage increases from a nationalised railway system.","It was private investment that created a great railway system in this country, and it was nationalisation that did so much to diminish it.","Ad hominem","Appeal to national greatness","Con","Con","Please read the following <b>two arguments against</b> nationalisation of the railways in the UK.","Argument One (Against)","Argument Two (Against)"
"9",6,9,"Nationalisation of the railways in the UK","Currently UK railways are mostly run by private franchises, where different companies operate different routes. Some people are in favour of nationalising the railway network (""for""), which means bringing it back under government control, while others are opposed (""against"").","Great Britain deserves to have a great railway system, not a collection of mediocre franchises.","Greedy unions think that it will be easier for them to get large wage increases from a nationalised railway system.","Appeal to national greatness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> nationalisation of the railways in the UK.","Argument One (For)","Argument Two (Against)"
"10",6,10,"Nationalisation of the railways in the UK","Currently UK railways are mostly run by private franchises, where different companies operate different routes. Some people are in favour of nationalising the railway network (""for""), which means bringing it back under government control, while others are opposed (""against"").","Greedy unions think that it will be easier for them to get large wage increases from a nationalised railway system.","Nationalisation will just hand more power to London elites and there will be even less attention paid to the transport needs of ordinary people around the country.","Ad hominem","Appeal to populism","Con","Con","Please read the following <b>two arguments against</b> nationalisation of the railways in the UK.","Argument One (Against)","Argument Two (Against)"
"11",6,11,"Nationalisation of the railways in the UK","Currently UK railways are mostly run by private franchises, where different companies operate different routes. Some people are in favour of nationalising the railway network (""for""), which means bringing it back under government control, while others are opposed (""against"").","Normal people are being priced out of the railways; nationalisation would make sure that the railways are accessible for all.","Greedy unions think that it will be easier for them to get large wage increases from a nationalised railway system.","Appeal to populism","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> nationalisation of the railways in the UK.","Argument One (For)","Argument Two (Against)"
"12",6,12,"Nationalisation of the railways in the UK","Currently UK railways are mostly run by private franchises, where different companies operate different routes. Some people are in favour of nationalising the railway network (""for""), which means bringing it back under government control, while others are opposed (""against"").","Greedy unions think that it will be easier for them to get large wage increases from a nationalised railway system.","Private sector rail franchises are a common sense way of administering the railway network.","Ad hominem","Common sense","Con","Con","Please read the following <b>two arguments against</b> nationalisation of the railways in the UK.","Argument One (Against)","Argument Two (Against)"
"13",6,13,"Nationalisation of the railways in the UK","Currently UK railways are mostly run by private franchises, where different companies operate different routes. Some people are in favour of nationalising the railway network (""for""), which means bringing it back under government control, while others are opposed (""against"").","If private sector rail franchises repeatedly fail, it is only common sense to take them into public ownership permanently.","Greedy unions think that it will be easier for them to get large wage increases from a nationalised railway system.","Common sense","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> nationalisation of the railways in the UK.","Argument One (For)","Argument Two (Against)"
