"","policy_id","pair_id","policy","description","text_one","text_two","element_one","element_two","pro_con_one","pro_con_two","prompt","text_one_title","text_two_title"
"1",7,1,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Those who oppose quotas are just afraid of letting women into their cosy boys' club.","Those who promote quotas are just virtue signalling.","Ad hominem","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> quotas for women on corporate boards.","Argument One (For)","Argument Two (Against)"
"2",7,2,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Those who promote quotas are just virtue signalling.","The CEO of Burberry summed up the argument against quotas well recently by arguing ""Just put the best person into the job. It is not about gender, it is about experience, leadership and vision"". ","Ad hominem","Appeal to authority/endorsement","Con","Con","Please read the following <b>two arguments against</b> quotas for women on corporate boards.","Argument One (Against)","Argument Two (Against)"
"3",7,3,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","A recent report by the European Institute for Gender Equality which endorsed quotas shows that there has been no progress in the UK for women in business over the past decade.","Those who promote quotas are just virtue signalling.","Appeal to authority/endorsement","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> quotas for women on corporate boards.","Argument One (For)","Argument Two (Against)"
"4",7,4,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Those who promote quotas are just virtue signalling.","Like any other job, positions on business boards should be allocated fairly on the basis of qualifications, not quotas.","Ad hominem","Appeal to fairness","Con","Con","Please read the following <b>two arguments against</b> quotas for women on corporate boards.","Argument One (Against)","Argument Two (Against)"
"5",7,5,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","It is fair to increase the number of women on business boards so that everyone has an equal chance of getting these prestigious positions.","Those who promote quotas are just virtue signalling.","Appeal to fairness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> quotas for women on corporate boards.","Argument One (For)","Argument Two (Against)"
"6",7,6,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Those who promote quotas are just virtue signalling.","History shows that quotas are unnecessary: there are now no all-male boards in the FTSE 100, compared with 21 such boards in 2011, and the percentage of women on FTSE 350 boards has more than doubled since 2010.","Ad hominem","Appeal to history","Con","Con","Please read the following <b>two arguments against</b> quotas for women on corporate boards.","Argument One (Against)","Argument Two (Against)"
"7",7,7,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","The historical pace of change in women's representation at the top of businesses is too slow, we need to now take active measures to achieve equality.","Those who promote quotas are just virtue signalling.","Appeal to history","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> quotas for women on corporate boards.","Argument One (For)","Argument Two (Against)"
"8",7,8,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Those who promote quotas are just virtue signalling.","We should be proud of the extraordinary performance of the UK's many great businesses, and we should not risk that success with the imposition  of unnecessary quotas.","Ad hominem","Appeal to national greatness","Con","Con","Please read the following <b>two arguments against</b> quotas for women on corporate boards.","Argument One (Against)","Argument Two (Against)"
"9",7,9,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","It should be a point of great pride that women in Britain are fundamental to our economic success, and adopting quotas would ensure that the UK is a great leader on this issue.","Those who promote quotas are just virtue signalling.","Appeal to national greatness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> quotas for women on corporate boards.","Argument One (For)","Argument Two (Against)"
"10",7,10,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Those who promote quotas are just virtue signalling.","We should be focussing on the position of ordinary working women, not on flashy quotas for the number of elite women on corporate boards.","Ad hominem","Appeal to populism","Con","Con","Please read the following <b>two arguments against</b> quotas for women on corporate boards.","Argument One (Against)","Argument Two (Against)"
"11",7,11,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Quotas will not only help elite women, but also help ordinary women in normal jobs whose lives are shaped by the decisions of those on corporate boards.","Those who promote quotas are just virtue signalling.","Appeal to populism","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> quotas for women on corporate boards.","Argument One (For)","Argument Two (Against)"
"12",7,12,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Those who promote quotas are just virtue signalling.","It is common sense that we should not interfere in who businesses put on their corporate boards.","Ad hominem","Common sense","Con","Con","Please read the following <b>two arguments against</b> quotas for women on corporate boards.","Argument One (Against)","Argument Two (Against)"
"13",7,13,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","It is common sense that if businesses are failing to keep up with the modern world, you need to take stronger measures -- such as implementing quotas -- to help them catch up.","Those who promote quotas are just virtue signalling.","Common sense","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> quotas for women on corporate boards.","Argument One (For)","Argument Two (Against)"
"14",7,14,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Those who promote quotas are just virtue signalling.","The benefits of gender balance on boards are uncertain, as there is no definitive link between more gender diversity and stronger performance, but the costs are concrete, as business are more constrained in who they can hire.","Ad hominem","Cost/benefit","Con","Con","Please read the following <b>two arguments against</b> quotas for women on corporate boards.","Argument One (Against)","Argument Two (Against)"
"15",7,15,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Quotas have clear business benefits, as organisations with the highest level of gender diversity in their leadership teams are 15% more likely to outperform their industry rivals. ","Those who promote quotas are just virtue signalling.","Cost/benefit","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> quotas for women on corporate boards.","Argument One (For)","Argument Two (Against)"
"16",7,16,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Those who promote quotas are just virtue signalling.","We should not make gender quotas an issue of law, but rather -- like many other EU countries -- allow businesses to take a voluntary approach to board and CEO recruitment.","Ad hominem","Country comparison","Con","Con","Please read the following <b>two arguments against</b> quotas for women on corporate boards.","Argument One (Against)","Argument Two (Against)"
"17",7,17,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","We should follow the lead of the Scottish government, as they have committed to achieving gender balance on private, public, and third sector boards by 2020.","Those who promote quotas are just virtue signalling.","Country comparison","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> quotas for women on corporate boards.","Argument One (For)","Argument Two (Against)"
"18",7,18,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Those who promote quotas are just virtue signalling.","Quotas are not necessary because there is no gender representation ""crisis"", and progress is being made and will be made over time.","Ad hominem","Crisis","Con","Con","Please read the following <b>two arguments against</b> quotas for women on corporate boards.","Argument One (Against)","Argument Two (Against)"
"19",7,19,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","The current lack of women on boards represents a real crisis of wasted talent and potential.","Those who promote quotas are just virtue signalling.","Crisis","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> quotas for women on corporate boards.","Argument One (For)","Argument Two (Against)"
"20",7,20,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Those who promote quotas are just virtue signalling.","Boardroom quotas are no more than a sticking plaster, and they will do nothing to address the root causes of women's underrepresentation in business.","Ad hominem","Metaphor","Con","Con","Please read the following <b>two arguments against</b> quotas for women on corporate boards.","Argument One (Against)","Argument Two (Against)"
"21",7,21,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Quotas will mean more powerful women on corporate boards who can act as beacons of light for other women in business.","Those who promote quotas are just virtue signalling.","Metaphor","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> quotas for women on corporate boards.","Argument One (For)","Argument Two (Against)"
"22",7,22,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Those who promote quotas are just virtue signalling.","Enforced quotas are immoral because they prevent hiring on the basis of individual merit.","Ad hominem","Morality","Con","Con","Please read the following <b>two arguments against</b> quotas for women on corporate boards.","Argument One (Against)","Argument Two (Against)"
"23",7,23,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","It is a moral failure, in a society that aspires to be equal, to have such extraordinary low numbers of women in important positions.","Those who promote quotas are just virtue signalling.","Morality","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> quotas for women on corporate boards.","Argument One (For)","Argument Two (Against)"
"24",7,24,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","Those who promote quotas are just virtue signalling.","In this country, the vast majority of women are not in favour of quotas.","Ad hominem","Public Opinion","Con","Con","Please read the following <b>two arguments against</b> quotas for women on corporate boards.","Argument One (Against)","Argument Two (Against)"
"25",7,25,"Quotas for women on corporate boards","Corporate boards of directors are responsible for the governance of companies. As of 2017, women occupied 28% of corporate board positions among the 100 largest companies listed on the London Stock Exchange. Some people think that there should be quotas for women's representation on corporate boards (""for""), while others oppose quotas (""against"").","The UK public is strongly in favour of providing more opportunities for women to take on leadership roles in business.","Those who promote quotas are just virtue signalling.","Public Opinion","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> quotas for women on corporate boards.","Argument One (For)","Argument Two (Against)"
