"","policy_id","pair_id","policy","description","text_one","text_two","element_one","element_two","pro_con_one","pro_con_two","prompt","text_one_title","text_two_title"
"1",8,1,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Those who oppose recreational cannabis use are mostly the type of people who never got invited to parties when they were young.","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","Ad hominem","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing the legal restrictions on cannabis use.","Argument One (For)","Argument Two (Against)"
"2",8,2,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","A report by the Royal College of Psychiatrists highlights that regular users of cannabis have double the risk of developing psychotic episodes or long-term schizophrenia.","Ad hominem","Appeal to authority/endorsement","Con","Con","Please read the following <b>two arguments against</b> reducing the legal restrictions on cannabis use.","Argument One (Against)","Argument Two (Against)"
"3",8,3,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Transform, a charitable think-tank that campaigns for the regulation of drugs, argues that prohibition is a proven failure that will never be successful in protecting individuals or society from the misuse of drugs.","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","Appeal to authority/endorsement","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing the legal restrictions on cannabis use.","Argument One (For)","Argument Two (Against)"
"4",8,4,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","Legalisation is unfair to the people who will be drawn into drug dependency.","Ad hominem","Appeal to fairness","Con","Con","Please read the following <b>two arguments against</b> reducing the legal restrictions on cannabis use.","Argument One (Against)","Argument Two (Against)"
"5",8,5,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","It is unfair to characterise responsible cannabis users as criminals.","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","Appeal to fairness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing the legal restrictions on cannabis use.","Argument One (For)","Argument Two (Against)"
"6",8,6,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","The terrible history of drug dependency in this country should be a stark reminder of the dangers of legalising drugs for recreational use.","Ad hominem","Appeal to history","Con","Con","Please read the following <b>two arguments against</b> reducing the legal restrictions on cannabis use.","Argument One (Against)","Argument Two (Against)"
"7",8,7,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Looking back through the history of UK drugs policy reveals that criminalization does not work, we need fresh thinking and a new approach.","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","Appeal to history","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing the legal restrictions on cannabis use.","Argument One (For)","Argument Two (Against)"
"8",8,8,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","Britain has led the world in introducing policies to reduce harmful drug use, we should not abandon these important values.","Ad hominem","Appeal to national greatness","Con","Con","Please read the following <b>two arguments against</b> reducing the legal restrictions on cannabis use.","Argument One (Against)","Argument Two (Against)"
"9",8,9,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","The test of a great country is its ability to set sensible policies in difficult areas rather than trying to implement bans that cannot be effectively enforced.","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","Appeal to national greatness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing the legal restrictions on cannabis use.","Argument One (For)","Argument Two (Against)"
"10",8,10,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","The elites who want to be able to smoke cannabis legally do not recognise the potential damage of more widespread use to ordinary people.","Ad hominem","Appeal to populism","Con","Con","Please read the following <b>two arguments against</b> reducing the legal restrictions on cannabis use.","Argument One (Against)","Argument Two (Against)"
"11",8,11,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Elites already ignore drug laws, it is only ordinary people who ever get punished for using cannabis.","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","Appeal to populism","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing the legal restrictions on cannabis use.","Argument One (For)","Argument Two (Against)"
"12",8,12,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","It is common sense that we do not want people using cannabis and so it should remain illegal.","Ad hominem","Common sense","Con","Con","Please read the following <b>two arguments against</b> reducing the legal restrictions on cannabis use.","Argument One (Against)","Argument Two (Against)"
"13",8,13,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","It is common sense to legalise cannabis given that it is less dangerous than legal drugs like alcohol and tobacco.","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","Common sense","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing the legal restrictions on cannabis use.","Argument One (For)","Argument Two (Against)"
"14",8,14,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","The productivity costs associated with widespread cannabis use would be substantial, there is good reason why it is not legal.","Ad hominem","Cost/benefit","Con","Con","Please read the following <b>two arguments against</b> reducing the legal restrictions on cannabis use.","Argument One (Against)","Argument Two (Against)"
"15",8,15,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","One of the biggest costs of cannabis prohibition is to enrich the organised criminals who provide drugs.","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","Cost/benefit","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing the legal restrictions on cannabis use.","Argument One (For)","Argument Two (Against)"
"16",8,16,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","There are very few countries in the world that have legalised cannabis.","Ad hominem","Country comparison","Con","Con","Please read the following <b>two arguments against</b> reducing the legal restrictions on cannabis use.","Argument One (Against)","Argument Two (Against)"
"17",8,17,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","There is clear movement in many countries towards legalisation of cannabis: recreational use is now decriminalised in Canada, the Netherlands and also in some states in the USA.","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","Country comparison","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing the legal restrictions on cannabis use.","Argument One (For)","Argument Two (Against)"
"18",8,18,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","There is no crisis to be solved by the legalisation of cannabis, but there might be one created by it.","Ad hominem","Crisis","Con","Con","Please read the following <b>two arguments against</b> reducing the legal restrictions on cannabis use.","Argument One (Against)","Argument Two (Against)"
"19",8,19,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","We should treat it as a crisis that we have criminalized large numbers of people for harmless use of cannabis.","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","Crisis","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing the legal restrictions on cannabis use.","Argument One (For)","Argument Two (Against)"
"20",8,20,"Reducing the legal restrictions on cannabis use","Cannabis is a class B drug, which means that you can be prosecuted for possession unless it has been medically prescribed. Some people think that cannabis should be legalised (""for""), while others are opposed (""against"").","Many of those who campaign to legalise cannabis would really like to legalise all drugs.","Legalisation is a slippery slope, where we will start with cannabis and slide towards the gutter.","Ad hominem","Metaphor","Con","Con","Please read the following <b>two arguments against</b> reducing the legal restrictions on cannabis use.","Argument One (Against)","Argument Two (Against)"
