"","policy_id","pair_id","policy","description","text_one","text_two","element_one","element_two","pro_con_one","pro_con_two","prompt","text_one_title","text_two_title"
"1",9,1,"Reducing university tuition fees","Currently, students studying in England pay university tuition fees of up to £9250, with all students entitled to receive a loan to cover fees and living expenses. Some people are in favour of reducing tuition fees (""for""), while others are opposed (""against"").","University Vice Chancellors are getting rich off the fees that young people pay and the debts that they take on.","The people who think you can slash fees without harming universities are just naïve.","Ad hominem","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing university tuition fees.","Argument One (For)","Argument Two (Against)"
"2",9,2,"Reducing university tuition fees","Currently, students studying in England pay university tuition fees of up to £9250, with all students entitled to receive a loan to cover fees and living expenses. Some people are in favour of reducing tuition fees (""for""), while others are opposed (""against"").","The people who think you can slash fees without harming universities are just naïve.","The current system works: the Institute for Fiscal Studies has shown that our universities are better funded than they have been at any point during the past 30 years.","Ad hominem","Appeal to authority/endorsement","Con","Con","Please read the following <b>two arguments against</b> reducing university tuition fees.","Argument One (Against)","Argument Two (Against)"
"3",9,3,"Reducing university tuition fees","Currently, students studying in England pay university tuition fees of up to £9250, with all students entitled to receive a loan to cover fees and living expenses. Some people are in favour of reducing tuition fees (""for""), while others are opposed (""against"").","The Institute for Fiscal Studies reports that 77% of UK graduates will never pay off their full debt.","The people who think you can slash fees without harming universities are just naïve.","Appeal to authority/endorsement","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing university tuition fees.","Argument One (For)","Argument Two (Against)"
"4",9,4,"Reducing university tuition fees","Currently, students studying in England pay university tuition fees of up to £9250, with all students entitled to receive a loan to cover fees and living expenses. Some people are in favour of reducing tuition fees (""for""), while others are opposed (""against"").","The people who think you can slash fees without harming universities are just naïve.","Reducing tuition fees would be unfair to those who never got the advantage of a university degree, as they will have to pay extra tax to help university graduates improve their incomes.","Ad hominem","Appeal to fairness","Con","Con","Please read the following <b>two arguments against</b> reducing university tuition fees.","Argument One (Against)","Argument Two (Against)"
"5",9,5,"Reducing university tuition fees","Currently, students studying in England pay university tuition fees of up to £9250, with all students entitled to receive a loan to cover fees and living expenses. Some people are in favour of reducing tuition fees (""for""), while others are opposed (""against"").","Current tuition fees are unfair for students from disadvantaged backgrounds, because they end up with the largest debts due to a lack of support for living costs.","The people who think you can slash fees without harming universities are just naïve.","Appeal to fairness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing university tuition fees.","Argument One (For)","Argument Two (Against)"
"6",9,6,"Reducing university tuition fees","Currently, students studying in England pay university tuition fees of up to £9250, with all students entitled to receive a loan to cover fees and living expenses. Some people are in favour of reducing tuition fees (""for""), while others are opposed (""against"").","The people who think you can slash fees without harming universities are just naïve.","We should not be nostalgic about the lower tuition fees of the past, which provided university education to many fewer students.","Ad hominem","Appeal to history","Con","Con","Please read the following <b>two arguments against</b> reducing university tuition fees.","Argument One (Against)","Argument Two (Against)"
"7",9,7,"Reducing university tuition fees","Currently, students studying in England pay university tuition fees of up to £9250, with all students entitled to receive a loan to cover fees and living expenses. Some people are in favour of reducing tuition fees (""for""), while others are opposed (""against"").","The current system means that young people have a worse deal than their parents and grandparents, who went to university for free.","The people who think you can slash fees without harming universities are just naïve.","Appeal to history","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing university tuition fees.","Argument One (For)","Argument Two (Against)"
"8",9,8,"Reducing university tuition fees","Currently, students studying in England pay university tuition fees of up to £9250, with all students entitled to receive a loan to cover fees and living expenses. Some people are in favour of reducing tuition fees (""for""), while others are opposed (""against"").","The people who think you can slash fees without harming universities are just naïve.","The current tuition fee system has given us a terrific university sector in the UK that attracts huge numbers of fee paying international students.","Ad hominem","Appeal to national greatness","Con","Con","Please read the following <b>two arguments against</b> reducing university tuition fees.","Argument One (Against)","Argument Two (Against)"
"9",9,9,"Reducing university tuition fees","Currently, students studying in England pay university tuition fees of up to £9250, with all students entitled to receive a loan to cover fees and living expenses. Some people are in favour of reducing tuition fees (""for""), while others are opposed (""against"").","Great countries provide great education to all, they do not saddle young people with debt they will never repay.","The people who think you can slash fees without harming universities are just naïve.","Appeal to national greatness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing university tuition fees.","Argument One (For)","Argument Two (Against)"
"10",9,10,"Reducing university tuition fees","Currently, students studying in England pay university tuition fees of up to £9250, with all students entitled to receive a loan to cover fees and living expenses. Some people are in favour of reducing tuition fees (""for""), while others are opposed (""against"").","The people who think you can slash fees without harming universities are just naïve.","If we cut tuition fees, universities will need money from the public purse, so why should a taxi driver's taxes pay for a future banker's time at Oxford?","Ad hominem","Appeal to populism","Con","Con","Please read the following <b>two arguments against</b> reducing university tuition fees.","Argument One (Against)","Argument Two (Against)"
"11",9,11,"Reducing university tuition fees","Currently, students studying in England pay university tuition fees of up to £9250, with all students entitled to receive a loan to cover fees and living expenses. Some people are in favour of reducing tuition fees (""for""), while others are opposed (""against"").","High tuition fees cause no problems for the children of elites, but put ordinary young people deep in debt.","The people who think you can slash fees without harming universities are just naïve.","Appeal to populism","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> reducing university tuition fees.","Argument One (For)","Argument Two (Against)"
